ccaa;año;activos_adulto;activos_joven
Navarra, Comunidad Foral de;2018;179,0;77,9
Navarra, Comunidad Foral de;2019;179,7;77,6
Navarra, Comunidad Foral de;2020;176,6;72,6
Navarra, Comunidad Foral de;2021;177,5;77,7
Navarra, Comunidad Foral de;2022;178,7;79,1
Navarra, Comunidad Foral de;2023;178,3;81,0
Navarra, Comunidad Foral de;2024;177,1;83,6
País Vasco;2008;566,2;372,3
País Vasco;2009;577,3;358,6
País Vasco;2010;597,3;338,1
País Vasco;2011;611,0;325,8
País Vasco;2012;609,5;305,2
País Vasco;2013;609,9;277,9
País Vasco;2014;610,5;260,6
País Vasco;2015;604,0;249,5
País Vasco;2016;605,6;236,9
País Vasco;2017;600,7;231,0
País Vasco;2018;600,4;232,6
País Vasco;2019;594,7;231,0
País Vasco;2020;577,0;220,7
País Vasco;2021;581,8;236,4
País Vasco;2022;579,4;238,4
País Vasco;2023;571,1;251,5
País Vasco;2024;575,7;239,6
Rioja, La;2008;80,2;60,3
Rioja, La;2009;82,6;56,7
Rioja, La;2010;85,8;50,9
Rioja, La;2011;87,0;52,3
Rioja, La;2012;86,9;48,9
Rioja, La;2013;87,7;44,0
Rioja, La;2014;89,4;42,2
Rioja, La;2015;87,8;39,4
Rioja, La;2016;88,0;37,0
Rioja, La;2017;86,7;36,3
Rioja, La;2018;88,2;36,5
Rioja, La;2019;87,1;37,2
Rioja, La;2020;86,2;35,9
Rioja, La;2021;88,8;37,0
Rioja, La;2022;88,8;35,8
Rioja, La;2023;86,8;36,7
Rioja, La;2024;85,6;37,8
