nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Rumanía,2011,42505,EM
Total,Ambos sexos,Rumanía,2010,49422,EM
Total,Ambos sexos,Rumanía,2009,51549,EM
Total,Ambos sexos,Rumanía,2008,33757,EM
Total,Ambos sexos,Suecia,2020,1619,EM
Total,Ambos sexos,Suecia,2019,1954,EM
Total,Ambos sexos,Suecia,2018,1915,EM
Total,Ambos sexos,Suecia,2017,2388,EM
Total,Ambos sexos,Suecia,2016,2559,EM
Total,Ambos sexos,Suecia,2015,2132,EM
Total,Ambos sexos,Suecia,2014,2206,EM
Total,Ambos sexos,Suecia,2013,2121,EM
Total,Ambos sexos,Suecia,2012,1376,EM
Total,Ambos sexos,Suecia,2011,1443,EM
Total,Ambos sexos,Suecia,2010,1502,EM
Total,Ambos sexos,Suecia,2009,1412,EM
Total,Ambos sexos,Suecia,2008,938,EM
Total,Ambos sexos,Lituania,2020,484,EM
Total,Ambos sexos,Lituania,2019,579,EM
Total,Ambos sexos,Lituania,2018,777,EM
Total,Ambos sexos,Lituania,2017,1211,EM
Total,Ambos sexos,Lituania,2016,865,EM
Total,Ambos sexos,Lituania,2015,1037,EM
Total,Ambos sexos,Lituania,2014,1211,EM
Total,Ambos sexos,Lituania,2013,1365,EM
Total,Ambos sexos,Lituania,2012,1269,EM
Total,Ambos sexos,Lituania,2011,1007,EM
Total,Ambos sexos,Lituania,2010,1293,EM
Total,Ambos sexos,Lituania,2009,1534,EM
Total,Ambos sexos,Lituania,2008,1253,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2020,3097,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2019,3382,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2018,2863,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2017,3809,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2016,4406,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2015,4816,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2014,4412,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2013,4333,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2012,3916,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2011,3514,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2010,3353,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2009,3882,EM
Total,Ambos sexos,Otro país de la Unión Europea sin España,2008,2735,EM
Total,Ambos sexos,Europa menos UE27_2020,2020,44290,EM
Total,Ambos sexos,Europa menos UE27_2020,2019,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2018,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2017,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2016,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2015,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2014,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2013,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2012,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2011,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2010,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2009,NA,EM
Total,Ambos sexos,Europa menos UE27_2020,2008,NA,EM
Total,Ambos sexos,Reino Unido,2020,30484,EM
Total,Ambos sexos,Reino Unido,2019,33195,EM
Total,Ambos sexos,Reino Unido,2018,40597,EM
Total,Ambos sexos,Reino Unido,2017,49483,EM
Total,Ambos sexos,Reino Unido,2016,37130,EM
Total,Ambos sexos,Reino Unido,2015,34935,EM
Total,Ambos sexos,Reino Unido,2014,33850,EM
Total,Ambos sexos,Reino Unido,2013,29484,EM
Total,Ambos sexos,Reino Unido,2012,19439,EM
Total,Ambos sexos,Reino Unido,2011,17588,EM
Total,Ambos sexos,Reino Unido,2010,18334,EM
Total,Ambos sexos,Reino Unido,2009,15091,EM
Total,Ambos sexos,Reino Unido,2008,13018,EM
Total,Ambos sexos,País de Europa menos UE28,2020,NA,EM
Total,Ambos sexos,País de Europa menos UE28,2019,15735,EM
Total,Ambos sexos,País de Europa menos UE28,2018,15906,EM
Total,Ambos sexos,País de Europa menos UE28,2017,18521,EM
Total,Ambos sexos,País de Europa menos UE28,2016,17402,EM
Total,Ambos sexos,País de Europa menos UE28,2015,15794,EM
Total,Ambos sexos,País de Europa menos UE28,2014,17462,EM
Total,Ambos sexos,País de Europa menos UE28,2013,22846,EM
Total,Ambos sexos,País de Europa menos UE28,2012,17809,EM
Total,Ambos sexos,País de Europa menos UE28,2011,16641,EM
Total,Ambos sexos,País de Europa menos UE28,2010,15827,EM
Total,Ambos sexos,País de Europa menos UE28,2009,15040,EM
Total,Ambos sexos,País de Europa menos UE28,2008,13892,EM
Total,Ambos sexos,Noruega,2020,1628,EM
Total,Ambos sexos,Noruega,2019,2204,EM
Total,Ambos sexos,Noruega,2018,1809,EM
Total,Ambos sexos,Noruega,2017,2654,EM
Total,Ambos sexos,Noruega,2016,2408,EM
Total,Ambos sexos,Noruega,2015,1700,EM
Total,Ambos sexos,Noruega,2014,2222,EM
Total,Ambos sexos,Noruega,2013,1636,EM
Total,Ambos sexos,Noruega,2012,1193,EM
Total,Ambos sexos,Noruega,2011,862,EM
Total,Ambos sexos,Noruega,2010,836,EM
Total,Ambos sexos,Noruega,2009,669,EM
Total,Ambos sexos,Noruega,2008,739,EM
