nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Española,Hombres,Bolivia,2018,420,EM
Española,Hombres,Bolivia,2017,614,EM
Española,Hombres,Bolivia,2016,730,EM
Española,Hombres,Bolivia,2015,722,EM
Española,Hombres,Bolivia,2014,742,EM
Española,Hombres,Bolivia,2013,533,EM
Española,Hombres,Bolivia,2012,370,EM
Española,Hombres,Bolivia,2011,372,EM
Española,Hombres,Bolivia,2010,263,EM
Española,Hombres,Bolivia,2009,280,EM
Española,Hombres,Bolivia,2008,121,EM
Española,Hombres,Brasil,2020,305,EM
Española,Hombres,Brasil,2019,415,EM
Española,Hombres,Brasil,2018,457,EM
Española,Hombres,Brasil,2017,608,EM
Española,Hombres,Brasil,2016,717,EM
Española,Hombres,Brasil,2015,1007,EM
Española,Hombres,Brasil,2014,1026,EM
Española,Hombres,Brasil,2013,950,EM
Española,Hombres,Brasil,2012,745,EM
Española,Hombres,Brasil,2011,723,EM
Española,Hombres,Brasil,2010,541,EM
Española,Hombres,Brasil,2009,477,EM
Española,Hombres,Brasil,2008,300,EM
Española,Hombres,Colombia,2020,774,EM
Española,Hombres,Colombia,2019,1075,EM
Española,Hombres,Colombia,2018,1282,EM
Española,Hombres,Colombia,2017,1472,EM
Española,Hombres,Colombia,2016,1650,EM
Española,Hombres,Colombia,2015,1749,EM
Española,Hombres,Colombia,2014,1876,EM
Española,Hombres,Colombia,2013,1513,EM
Española,Hombres,Colombia,2012,826,EM
Española,Hombres,Colombia,2011,318,EM
Española,Hombres,Colombia,2010,252,EM
Española,Hombres,Colombia,2009,230,EM
Española,Hombres,Colombia,2008,320,EM
Española,Hombres,Chile,2020,275,EM
Española,Hombres,Chile,2019,442,EM
Española,Hombres,Chile,2018,541,EM
Española,Hombres,Chile,2017,651,EM
Española,Hombres,Chile,2016,898,EM
Española,Hombres,Chile,2015,1232,EM
Española,Hombres,Chile,2014,1116,EM
Española,Hombres,Chile,2013,974,EM
Española,Hombres,Chile,2012,597,EM
Española,Hombres,Chile,2011,563,EM
Española,Hombres,Chile,2010,337,EM
Española,Hombres,Chile,2009,274,EM
Española,Hombres,Chile,2008,302,EM
Española,Hombres,Ecuador,2020,1153,EM
Española,Hombres,Ecuador,2019,1600,EM
Española,Hombres,Ecuador,2018,2138,EM
Española,Hombres,Ecuador,2017,2601,EM
Española,Hombres,Ecuador,2016,2828,EM
Española,Hombres,Ecuador,2015,3612,EM
Española,Hombres,Ecuador,2014,3774,EM
Española,Hombres,Ecuador,2013,4503,EM
Española,Hombres,Ecuador,2012,3066,EM
Española,Hombres,Ecuador,2011,1836,EM
Española,Hombres,Ecuador,2010,1042,EM
Española,Hombres,Ecuador,2009,672,EM
Española,Hombres,Ecuador,2008,294,EM
Española,Hombres,Paraguay,2020,139,EM
Española,Hombres,Paraguay,2019,184,EM
Española,Hombres,Paraguay,2018,152,EM
Española,Hombres,Paraguay,2017,157,EM
Española,Hombres,Paraguay,2016,218,EM
Española,Hombres,Paraguay,2015,259,EM
Española,Hombres,Paraguay,2014,186,EM
Española,Hombres,Paraguay,2013,163,EM
Española,Hombres,Paraguay,2012,103,EM
Española,Hombres,Paraguay,2011,102,EM
Española,Hombres,Paraguay,2010,57,EM
Española,Hombres,Paraguay,2009,38,EM
Española,Hombres,Paraguay,2008,54,EM
Española,Hombres,Perú,2020,407,EM
Española,Hombres,Perú,2019,612,EM
Española,Hombres,Perú,2018,667,EM
Española,Hombres,Perú,2017,811,EM
Española,Hombres,Perú,2016,869,EM
Española,Hombres,Perú,2015,1236,EM
Española,Hombres,Perú,2014,988,EM
Española,Hombres,Perú,2013,827,EM
Española,Hombres,Perú,2012,622,EM
Española,Hombres,Perú,2011,503,EM
Española,Hombres,Perú,2010,329,EM
Española,Hombres,Perú,2009,293,EM
Española,Hombres,Perú,2008,228,EM
Española,Hombres,Uruguay,2020,204,EM
Española,Hombres,Uruguay,2019,236,EM
Española,Hombres,Uruguay,2018,277,EM
Española,Hombres,Uruguay,2017,316,EM
Española,Hombres,Uruguay,2016,362,EM
Española,Hombres,Uruguay,2015,436,EM
Española,Hombres,Uruguay,2014,460,EM
Española,Hombres,Uruguay,2013,389,EM
Española,Hombres,Uruguay,2012,267,EM
Española,Hombres,Uruguay,2011,238,EM
Española,Hombres,Uruguay,2010,264,EM
Española,Hombres,Uruguay,2009,270,EM
Española,Hombres,Uruguay,2008,167,EM
Española,Hombres,Venezuela,2020,645,EM
Española,Hombres,Venezuela,2019,707,EM
Española,Hombres,Venezuela,2018,902,EM
Española,Hombres,Venezuela,2017,843,EM
Española,Hombres,Venezuela,2016,946,EM
Española,Hombres,Venezuela,2015,1165,EM
Española,Hombres,Venezuela,2014,1347,EM
Española,Hombres,Venezuela,2013,1496,EM
Española,Hombres,Venezuela,2012,1166,EM
Española,Hombres,Venezuela,2011,1098,EM
Española,Hombres,Venezuela,2010,936,EM
Española,Hombres,Venezuela,2009,734,EM
Española,Hombres,Venezuela,2008,657,EM
Española,Hombres,Otro país de Sudamérica,2020,0,EM
Española,Hombres,Otro país de Sudamérica,2019,1,EM
Española,Hombres,Otro país de Sudamérica,2018,1,EM
Española,Hombres,Otro país de Sudamérica,2017,0,EM
Española,Hombres,Otro país de Sudamérica,2016,0,EM
Española,Hombres,Otro país de Sudamérica,2015,NA,EM
Española,Hombres,Otro país de Sudamérica,2014,1,EM
Española,Hombres,Otro país de Sudamérica,2013,1,EM
Española,Hombres,Otro país de Sudamérica,2012,NA,EM
Española,Hombres,Otro país de Sudamérica,2011,1,EM
Española,Hombres,Otro país de Sudamérica,2010,NA,EM
Española,Hombres,Otro país de Sudamérica,2009,NA,EM
Española,Hombres,Otro país de Sudamérica,2008,NA,EM
Española,Hombres,Asia,2020,1632,EM
Española,Hombres,Asia,2019,1801,EM
Española,Hombres,Asia,2018,1795,EM
Española,Hombres,Asia,2017,2129,EM
Española,Hombres,Asia,2016,2420,EM
Española,Hombres,Asia,2015,3037,EM
Española,Hombres,Asia,2014,2289,EM
Española,Hombres,Asia,2013,2121,EM
Española,Hombres,Asia,2012,1717,EM
Española,Hombres,Asia,2011,1959,EM
Española,Hombres,Asia,2010,1280,EM
Española,Hombres,Asia,2009,1146,EM
Española,Hombres,Asia,2008,1128,EM
Española,Hombres,Bangladesh,2020,1,EM
Española,Hombres,Bangladesh,2019,4,EM
Española,Hombres,Bangladesh,2018,8,EM
Española,Hombres,Bangladesh,2017,7,EM
Española,Hombres,Bangladesh,2016,3,EM
Española,Hombres,Bangladesh,2015,6,EM
Española,Hombres,Bangladesh,2014,7,EM
Española,Hombres,Bangladesh,2013,3,EM
Española,Hombres,Bangladesh,2012,5,EM
Española,Hombres,Bangladesh,2011,3,EM
Española,Hombres,Bangladesh,2010,5,EM
Española,Hombres,Bangladesh,2009,NA,EM
Española,Hombres,Bangladesh,2008,NA,EM
Española,Hombres,China,2020,312,EM
Española,Hombres,China,2019,331,EM
Española,Hombres,China,2018,331,EM
Española,Hombres,China,2017,364,EM
Española,Hombres,China,2016,445,EM
Española,Hombres,China,2015,493,EM
Española,Hombres,China,2014,463,EM
Española,Hombres,China,2013,461,EM
Española,Hombres,China,2012,452,EM
Española,Hombres,China,2011,585,EM
Española,Hombres,China,2010,374,EM
Española,Hombres,China,2009,295,EM
Española,Hombres,China,2008,292,EM
Española,Hombres,Filipinas,2020,67,EM
Española,Hombres,Filipinas,2019,88,EM
Española,Hombres,Filipinas,2018,48,EM
Española,Hombres,Filipinas,2017,90,EM
Española,Hombres,Filipinas,2016,81,EM
Española,Hombres,Filipinas,2015,100,EM
Española,Hombres,Filipinas,2014,72,EM
Española,Hombres,Filipinas,2013,66,EM
Española,Hombres,Filipinas,2012,72,EM
Española,Hombres,Filipinas,2011,73,EM
Española,Hombres,Filipinas,2010,73,EM
Española,Hombres,Filipinas,2009,52,EM
Española,Hombres,Filipinas,2008,66,EM
Española,Hombres,India,2020,31,EM
Española,Hombres,India,2019,43,EM
Española,Hombres,India,2018,27,EM
Española,Hombres,India,2017,33,EM
Española,Hombres,India,2016,70,EM
Española,Hombres,India,2015,91,EM
Española,Hombres,India,2014,44,EM
Española,Hombres,India,2013,53,EM
Española,Hombres,India,2012,51,EM
Española,Hombres,India,2011,85,EM
Española,Hombres,India,2010,49,EM
Española,Hombres,India,2009,33,EM
Española,Hombres,India,2008,28,EM
Española,Hombres,Pakistán,2020,45,EM
Española,Hombres,Pakistán,2019,31,EM
Española,Hombres,Pakistán,2018,37,EM
Española,Hombres,Pakistán,2017,36,EM
Española,Hombres,Pakistán,2016,22,EM
Española,Hombres,Pakistán,2015,33,EM
Española,Hombres,Pakistán,2014,20,EM
Española,Hombres,Pakistán,2013,22,EM
Española,Hombres,Pakistán,2012,17,EM
Española,Hombres,Pakistán,2011,19,EM
Española,Hombres,Pakistán,2010,13,EM
Española,Hombres,Pakistán,2009,29,EM
Española,Hombres,Pakistán,2008,20,EM
Española,Hombres,Otro país de Asia,2020,1176,EM
Española,Hombres,Otro país de Asia,2019,1304,EM
Española,Hombres,Otro país de Asia,2018,1344,EM
Española,Hombres,Otro país de Asia,2017,1599,EM
Española,Hombres,Otro país de Asia,2016,1799,EM
Española,Hombres,Otro país de Asia,2015,2313,EM
Española,Hombres,Otro país de Asia,2014,1683,EM
Española,Hombres,Otro país de Asia,2013,1516,EM
Española,Hombres,Otro país de Asia,2012,1120,EM
Española,Hombres,Otro país de Asia,2011,1193,EM
Española,Hombres,Otro país de Asia,2010,765,EM
Española,Hombres,Otro país de Asia,2009,737,EM
Española,Hombres,Otro país de Asia,2008,722,EM
Española,Hombres,Oceanía,2020,385,EM
Española,Hombres,Oceanía,2019,459,EM
Española,Hombres,Oceanía,2018,429,EM
Española,Hombres,Oceanía,2017,394,EM
Española,Hombres,Oceanía,2016,472,EM
Española,Hombres,Oceanía,2015,486,EM
Española,Hombres,Oceanía,2014,367,EM
Española,Hombres,Oceanía,2013,332,EM
Española,Hombres,Oceanía,2012,315,EM
Española,Hombres,Oceanía,2011,246,EM
Española,Hombres,Oceanía,2010,232,EM
Española,Hombres,Oceanía,2009,169,EM
Española,Hombres,Oceanía,2008,172,EM
Extranjero,Hombres,Total,2020,99124,EM
Extranjero,Hombres,Total,2019,118970,EM
Extranjero,Hombres,Total,2018,125008,EM
Extranjero,Hombres,Total,2017,155477,EM
Extranjero,Hombres,Total,2016,133151,EM
Extranjero,Hombres,Total,2015,141126,EM
Extranjero,Hombres,Total,2014,180934,EM
Extranjero,Hombres,Total,2013,260998,EM
Extranjero,Hombres,Total,2012,230131,EM
Extranjero,Hombres,Total,2011,212333,EM
Extranjero,Hombres,Total,2010,217325,EM
Extranjero,Hombres,Total,2009,207732,EM
Extranjero,Hombres,Total,2008,152442,EM
Extranjero,Hombres,UE27_2020 sin España,2020,43384,EM
Extranjero,Hombres,UE27_2020 sin España,2019,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2018,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2017,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2016,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2015,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2014,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2013,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2012,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2011,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2010,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2009,NA,EM
Extranjero,Hombres,UE27_2020 sin España,2008,NA,EM
Extranjero,Hombres,UE28 sin España,2020,NA,EM
Extranjero,Hombres,UE28 sin España,2019,61336,EM
Extranjero,Hombres,UE28 sin España,2018,66493,EM
Extranjero,Hombres,UE28 sin España,2017,86882,EM
Extranjero,Hombres,UE28 sin España,2016,73396,EM
Extranjero,Hombres,UE28 sin España,2015,76240,EM
Extranjero,Hombres,UE28 sin España,2014,86248,EM
Extranjero,Hombres,UE28 sin España,2013,104235,EM
Extranjero,Hombres,UE28 sin España,2012,86925,EM
Extranjero,Hombres,UE28 sin España,2011,71716,EM
Extranjero,Hombres,UE28 sin España,2010,85051,EM
Extranjero,Hombres,UE28 sin España,2009,84314,EM
Extranjero,Hombres,UE28 sin España,2008,58472,EM
Extranjero,Hombres,Bélgica,2020,1123,EM
Extranjero,Hombres,Bélgica,2019,1068,EM
Extranjero,Hombres,Bélgica,2018,1029,EM
Extranjero,Hombres,Bélgica,2017,1300,EM
Extranjero,Hombres,Bélgica,2016,1957,EM
Extranjero,Hombres,Bélgica,2015,1902,EM
Extranjero,Hombres,Bélgica,2014,2150,EM
Extranjero,Hombres,Bélgica,2013,2697,EM
Extranjero,Hombres,Bélgica,2012,1934,EM
Extranjero,Hombres,Bélgica,2011,3090,EM
Extranjero,Hombres,Bélgica,2010,2265,EM
Extranjero,Hombres,Bélgica,2009,2211,EM
Extranjero,Hombres,Bélgica,2008,1409,EM
Extranjero,Hombres,Bulgaria,2020,2696,EM
Extranjero,Hombres,Bulgaria,2019,3709,EM
Extranjero,Hombres,Bulgaria,2018,3785,EM
Extranjero,Hombres,Bulgaria,2017,4691,EM
Extranjero,Hombres,Bulgaria,2016,4439,EM
Extranjero,Hombres,Bulgaria,2015,4719,EM
Extranjero,Hombres,Bulgaria,2014,5659,EM
Extranjero,Hombres,Bulgaria,2013,7165,EM
Extranjero,Hombres,Bulgaria,2012,6143,EM
Extranjero,Hombres,Bulgaria,2011,4660,EM
Extranjero,Hombres,Bulgaria,2010,6417,EM
Extranjero,Hombres,Bulgaria,2009,6433,EM
Extranjero,Hombres,Bulgaria,2008,4227,EM
Extranjero,Hombres,Dinamarca,2020,333,EM
Extranjero,Hombres,Dinamarca,2019,359,EM
Extranjero,Hombres,Dinamarca,2018,413,EM
Extranjero,Hombres,Dinamarca,2017,513,EM
Extranjero,Hombres,Dinamarca,2016,467,EM
Extranjero,Hombres,Dinamarca,2015,467,EM
Extranjero,Hombres,Dinamarca,2014,478,EM
Extranjero,Hombres,Dinamarca,2013,296,EM
Extranjero,Hombres,Dinamarca,2012,259,EM
Extranjero,Hombres,Dinamarca,2011,343,EM
Extranjero,Hombres,Dinamarca,2010,272,EM
Extranjero,Hombres,Dinamarca,2009,310,EM
Extranjero,Hombres,Dinamarca,2008,224,EM
Extranjero,Hombres,Finlandia,2020,323,EM
Extranjero,Hombres,Finlandia,2019,381,EM
Extranjero,Hombres,Finlandia,2018,353,EM
Extranjero,Hombres,Finlandia,2017,437,EM
Extranjero,Hombres,Finlandia,2016,547,EM
Extranjero,Hombres,Finlandia,2015,271,EM
Extranjero,Hombres,Finlandia,2014,259,EM
Extranjero,Hombres,Finlandia,2013,225,EM
Extranjero,Hombres,Finlandia,2012,198,EM
Extranjero,Hombres,Finlandia,2011,149,EM
Extranjero,Hombres,Finlandia,2010,78,EM
Extranjero,Hombres,Finlandia,2009,139,EM
Extranjero,Hombres,Finlandia,2008,126,EM
Extranjero,Hombres,Francia,2020,4320,EM
Extranjero,Hombres,Francia,2019,5720,EM
Extranjero,Hombres,Francia,2018,5254,EM
Extranjero,Hombres,Francia,2017,6855,EM
Extranjero,Hombres,Francia,2016,7753,EM
Extranjero,Hombres,Francia,2015,8203,EM
Extranjero,Hombres,Francia,2014,8734,EM
Extranjero,Hombres,Francia,2013,12040,EM
Extranjero,Hombres,Francia,2012,10064,EM
Extranjero,Hombres,Francia,2011,9290,EM
Extranjero,Hombres,Francia,2010,10347,EM
Extranjero,Hombres,Francia,2009,8766,EM
Extranjero,Hombres,Francia,2008,5919,EM
Extranjero,Hombres,Irlanda,2020,363,EM
Extranjero,Hombres,Irlanda,2019,440,EM
Extranjero,Hombres,Irlanda,2018,633,EM
Extranjero,Hombres,Irlanda,2017,710,EM
Extranjero,Hombres,Irlanda,2016,631,EM
Extranjero,Hombres,Irlanda,2015,492,EM
Extranjero,Hombres,Irlanda,2014,574,EM
Extranjero,Hombres,Irlanda,2013,434,EM
Extranjero,Hombres,Irlanda,2012,299,EM
Extranjero,Hombres,Irlanda,2011,300,EM
Extranjero,Hombres,Irlanda,2010,280,EM
Extranjero,Hombres,Irlanda,2009,477,EM
Extranjero,Hombres,Irlanda,2008,255,EM
Extranjero,Hombres,Italia,2020,4180,EM
Extranjero,Hombres,Italia,2019,4144,EM
Extranjero,Hombres,Italia,2018,3948,EM
Extranjero,Hombres,Italia,2017,4889,EM
Extranjero,Hombres,Italia,2016,3718,EM
Extranjero,Hombres,Italia,2015,3963,EM
Extranjero,Hombres,Italia,2014,5208,EM
Extranjero,Hombres,Italia,2013,5824,EM
Extranjero,Hombres,Italia,2012,3896,EM
Extranjero,Hombres,Italia,2011,3988,EM
Extranjero,Hombres,Italia,2010,5343,EM
Extranjero,Hombres,Italia,2009,4602,EM
Extranjero,Hombres,Italia,2008,3551,EM
Extranjero,Hombres,Países Bajos,2020,1213,EM
Extranjero,Hombres,Países Bajos,2019,1934,EM
Extranjero,Hombres,Países Bajos,2018,1335,EM
Extranjero,Hombres,Países Bajos,2017,2055,EM
Extranjero,Hombres,Países Bajos,2016,1867,EM
Extranjero,Hombres,Países Bajos,2015,1748,EM
Extranjero,Hombres,Países Bajos,2014,2230,EM
Extranjero,Hombres,Países Bajos,2013,2388,EM
Extranjero,Hombres,Países Bajos,2012,1732,EM
Extranjero,Hombres,Países Bajos,2011,2000,EM
Extranjero,Hombres,Países Bajos,2010,2157,EM
Extranjero,Hombres,Países Bajos,2009,2227,EM
Extranjero,Hombres,Países Bajos,2008,1537,EM
Extranjero,Hombres,Polonia,2020,825,EM
Extranjero,Hombres,Polonia,2019,1598,EM
Extranjero,Hombres,Polonia,2018,1308,EM
Extranjero,Hombres,Polonia,2017,2275,EM
Extranjero,Hombres,Polonia,2016,1584,EM
Extranjero,Hombres,Polonia,2015,1735,EM
Extranjero,Hombres,Polonia,2014,2310,EM
Extranjero,Hombres,Polonia,2013,2781,EM
Extranjero,Hombres,Polonia,2012,3201,EM
Extranjero,Hombres,Polonia,2011,2991,EM
Extranjero,Hombres,Polonia,2010,3975,EM
Extranjero,Hombres,Polonia,2009,4326,EM
Extranjero,Hombres,Polonia,2008,3407,EM
Extranjero,Hombres,Portugal,2020,3825,EM
Extranjero,Hombres,Portugal,2019,3820,EM
Extranjero,Hombres,Portugal,2018,4358,EM
Extranjero,Hombres,Portugal,2017,5911,EM
Extranjero,Hombres,Portugal,2016,4463,EM
Extranjero,Hombres,Portugal,2015,4491,EM
Extranjero,Hombres,Portugal,2014,5866,EM
Extranjero,Hombres,Portugal,2013,6831,EM
Extranjero,Hombres,Portugal,2012,6837,EM
Extranjero,Hombres,Portugal,2011,7209,EM
Extranjero,Hombres,Portugal,2010,9290,EM
Extranjero,Hombres,Portugal,2009,9961,EM
Extranjero,Hombres,Portugal,2008,6688,EM
Extranjero,Hombres,Alemania,2020,4690,EM
Extranjero,Hombres,Alemania,2019,5103,EM
Extranjero,Hombres,Alemania,2018,5590,EM
Extranjero,Hombres,Alemania,2017,6910,EM
Extranjero,Hombres,Alemania,2016,6820,EM
Extranjero,Hombres,Alemania,2015,8104,EM
Extranjero,Hombres,Alemania,2014,8113,EM
Extranjero,Hombres,Alemania,2013,9907,EM
Extranjero,Hombres,Alemania,2012,6589,EM
Extranjero,Hombres,Alemania,2011,5292,EM
Extranjero,Hombres,Alemania,2010,6028,EM
Extranjero,Hombres,Alemania,2009,5312,EM
Extranjero,Hombres,Alemania,2008,3895,EM
Extranjero,Hombres,Rumanía,2020,17711,EM
Extranjero,Hombres,Rumanía,2019,23669,EM
Extranjero,Hombres,Rumanía,2018,24830,EM
Extranjero,Hombres,Rumanía,2017,31738,EM
Extranjero,Hombres,Rumanía,2016,23576,EM
Extranjero,Hombres,Rumanía,2015,25217,EM
Extranjero,Hombres,Rumanía,2014,29027,EM
Extranjero,Hombres,Rumanía,2013,39460,EM
Extranjero,Hombres,Rumanía,2012,36246,EM
Extranjero,Hombres,Rumanía,2011,24340,EM
Extranjero,Hombres,Rumanía,2010,28412,EM
Extranjero,Hombres,Rumanía,2009,30223,EM
Extranjero,Hombres,Rumanía,2008,20055,EM
Extranjero,Hombres,Suecia,2020,574,EM
Extranjero,Hombres,Suecia,2019,614,EM
Extranjero,Hombres,Suecia,2018,736,EM
Extranjero,Hombres,Suecia,2017,1012,EM
Extranjero,Hombres,Suecia,2016,1041,EM
Extranjero,Hombres,Suecia,2015,707,EM
Extranjero,Hombres,Suecia,2014,761,EM
Extranjero,Hombres,Suecia,2013,739,EM
Extranjero,Hombres,Suecia,2012,501,EM
Extranjero,Hombres,Suecia,2011,520,EM
Extranjero,Hombres,Suecia,2010,546,EM
Extranjero,Hombres,Suecia,2009,532,EM
Extranjero,Hombres,Suecia,2008,348,EM
Extranjero,Hombres,Lituania,2020,241,EM
Extranjero,Hombres,Lituania,2019,280,EM
Extranjero,Hombres,Lituania,2018,451,EM
Extranjero,Hombres,Lituania,2017,658,EM
Extranjero,Hombres,Lituania,2016,470,EM
Extranjero,Hombres,Lituania,2015,628,EM
Extranjero,Hombres,Lituania,2014,743,EM
Extranjero,Hombres,Lituania,2013,827,EM
Extranjero,Hombres,Lituania,2012,747,EM
Extranjero,Hombres,Lituania,2011,677,EM
Extranjero,Hombres,Lituania,2010,784,EM
Extranjero,Hombres,Lituania,2009,1011,EM
Extranjero,Hombres,Lituania,2008,763,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2020,967,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2019,964,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2018,860,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2017,1360,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2016,1696,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2015,1798,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2014,1681,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2013,1515,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2012,1704,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2011,1497,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2010,1802,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2009,2048,EM
Extranjero,Hombres,Otro país de la Unión Europea sin España,2008,1312,EM
Extranjero,Hombres,Europa menos UE27_2020,2020,12250,EM
Extranjero,Hombres,Europa menos UE27_2020,2019,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2018,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2017,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2016,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2015,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2014,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2013,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2012,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2011,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2010,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2009,NA,EM
Extranjero,Hombres,Europa menos UE27_2020,2008,NA,EM
Extranjero,Hombres,Reino Unido,2020,7772,EM
Extranjero,Hombres,Reino Unido,2019,7533,EM
Extranjero,Hombres,Reino Unido,2018,11610,EM
Extranjero,Hombres,Reino Unido,2017,15568,EM
Extranjero,Hombres,Reino Unido,2016,12367,EM
Extranjero,Hombres,Reino Unido,2015,11795,EM
Extranjero,Hombres,Reino Unido,2014,12454,EM
Extranjero,Hombres,Reino Unido,2013,11106,EM
Extranjero,Hombres,Reino Unido,2012,6574,EM
Extranjero,Hombres,Reino Unido,2011,5370,EM
Extranjero,Hombres,Reino Unido,2010,7054,EM
Extranjero,Hombres,Reino Unido,2009,5736,EM
Extranjero,Hombres,Reino Unido,2008,4754,EM
Extranjero,Hombres,País de Europa menos UE28,2020,NA,EM
Extranjero,Hombres,País de Europa menos UE28,2019,5406,EM
Extranjero,Hombres,País de Europa menos UE28,2018,5172,EM
Extranjero,Hombres,País de Europa menos UE28,2017,6700,EM
Extranjero,Hombres,País de Europa menos UE28,2016,5857,EM
Extranjero,Hombres,País de Europa menos UE28,2015,4669,EM
Extranjero,Hombres,País de Europa menos UE28,2014,6445,EM
Extranjero,Hombres,País de Europa menos UE28,2013,9042,EM
Extranjero,Hombres,País de Europa menos UE28,2012,7052,EM
Extranjero,Hombres,País de Europa menos UE28,2011,6872,EM
Extranjero,Hombres,País de Europa menos UE28,2010,7015,EM
Extranjero,Hombres,País de Europa menos UE28,2009,7298,EM
Extranjero,Hombres,País de Europa menos UE28,2008,6654,EM
Extranjero,Hombres,Noruega,2020,607,EM
Extranjero,Hombres,Noruega,2019,863,EM
Extranjero,Hombres,Noruega,2018,723,EM
Extranjero,Hombres,Noruega,2017,1116,EM
Extranjero,Hombres,Noruega,2016,919,EM
Extranjero,Hombres,Noruega,2015,580,EM
Extranjero,Hombres,Noruega,2014,906,EM
Extranjero,Hombres,Noruega,2013,609,EM
Extranjero,Hombres,Noruega,2012,391,EM
Extranjero,Hombres,Noruega,2011,324,EM
Extranjero,Hombres,Noruega,2010,329,EM
Extranjero,Hombres,Noruega,2009,247,EM
Extranjero,Hombres,Noruega,2008,290,EM
Extranjero,Hombres,Suiza,2020,442,EM
Extranjero,Hombres,Suiza,2019,526,EM
Extranjero,Hombres,Suiza,2018,528,EM
Extranjero,Hombres,Suiza,2017,627,EM
Extranjero,Hombres,Suiza,2016,1080,EM
Extranjero,Hombres,Suiza,2015,949,EM
Extranjero,Hombres,Suiza,2014,1531,EM
Extranjero,Hombres,Suiza,2013,1650,EM
Extranjero,Hombres,Suiza,2012,1085,EM
Extranjero,Hombres,Suiza,2011,1190,EM
Extranjero,Hombres,Suiza,2010,1139,EM
Extranjero,Hombres,Suiza,2009,1046,EM
Extranjero,Hombres,Suiza,2008,864,EM
Extranjero,Hombres,Ucrania,2020,1119,EM
Extranjero,Hombres,Ucrania,2019,1479,EM
Extranjero,Hombres,Ucrania,2018,1492,EM
Extranjero,Hombres,Ucrania,2017,1786,EM
Extranjero,Hombres,Ucrania,2016,1271,EM
Extranjero,Hombres,Ucrania,2015,986,EM
Extranjero,Hombres,Ucrania,2014,1317,EM
Extranjero,Hombres,Ucrania,2013,2786,EM
Extranjero,Hombres,Ucrania,2012,2300,EM
Extranjero,Hombres,Ucrania,2011,2250,EM
Extranjero,Hombres,Ucrania,2010,2394,EM
Extranjero,Hombres,Ucrania,2009,2714,EM
Extranjero,Hombres,Ucrania,2008,2599,EM
Extranjero,Hombres,Moldavia,2020,140,EM
Extranjero,Hombres,Moldavia,2019,151,EM
Extranjero,Hombres,Moldavia,2018,209,EM
Extranjero,Hombres,Moldavia,2017,220,EM
Extranjero,Hombres,Moldavia,2016,280,EM
Extranjero,Hombres,Moldavia,2015,163,EM
Extranjero,Hombres,Moldavia,2014,241,EM
Extranjero,Hombres,Moldavia,2013,473,EM
Extranjero,Hombres,Moldavia,2012,494,EM
Extranjero,Hombres,Moldavia,2011,482,EM
Extranjero,Hombres,Moldavia,2010,520,EM
Extranjero,Hombres,Moldavia,2009,582,EM
Extranjero,Hombres,Moldavia,2008,501,EM
Extranjero,Hombres,Rusia,2020,1484,EM
Extranjero,Hombres,Rusia,2019,1699,EM
Extranjero,Hombres,Rusia,2018,1589,EM
Extranjero,Hombres,Rusia,2017,2152,EM
Extranjero,Hombres,Rusia,2016,1594,EM
Extranjero,Hombres,Rusia,2015,1283,EM
Extranjero,Hombres,Rusia,2014,1486,EM
Extranjero,Hombres,Rusia,2013,1983,EM
Extranjero,Hombres,Rusia,2012,1381,EM
Extranjero,Hombres,Rusia,2011,1130,EM
Extranjero,Hombres,Rusia,2010,1201,EM
Extranjero,Hombres,Rusia,2009,1176,EM
