ccaa;año;emig_2034;pob_2034;parados_adulto;parados_joven;activos_adulto;activos_joven;pib_crec;ipv;salario;ipc;tasa_emig_2034;paro_joven;paro_adulto;ratio_paro_jov_adult;salario_real;post2013;post2014;post2021
Asturias, Principado de;2018;451;124242;32,4;19,8;266,5;93,1;1,6337;106,12325;1977,1;81,9071666666667;3,630012395164276;21,26745435016112;12,15759849906191;1,74931376059196;2413,83029161062;1;1;0
Asturias, Principado de;2019;507;119309;33,6;20,2;265,0;90,9;1,2765;110,56050;2078,3;82,2926666666667;4,249469863966675;22,22222222222222;12,67924528301887;1,75264550264550;2525,49842432294;1;1;0
Asturias, Principado de;2020;366;115208;30,7;21,5;259,6;86,2;-10,3303;114,07225;2161,5;81,8757500000000;3,176862717866815;24,94199535962877;11,82588597842835;2,10910162715297;2639,97581701542;1;1;0
Asturias, Principado de;2021;567;112388;26,9;18,3;261,4;84,2;5,3963;118,80725;2083,6;84,3567500000000;5,045022600277609;21,73396674584323;10,29074215761285;2,11199215887116;2469,98610069734;1;1;1
Asturias, Principado de;2022;389;109688;25,0;18,5;251,5;85,2;4,8216;126,18175;2096,7;91,4475000000000;3,546422580409890;21,71361502347418;9,94035785288270;2,18438967136150;2292,79094562454;1;1;1
Asturias, Principado de;2023;417;107855;24,9;16,0;250,1;88,3;1,7139;130,90075;2228,5;94,5443333333333;3,866301979509527;18,12004530011325;9,95601759296281;1,82000936930053;2357,09526042456;1;1;1
Asturias, Principado de;2024;404;107682;19,8;13,1;253,4;91,0;3,0037;141,09650;2319,8;97,2461666666667;3,751787671105663;14,39560439560439;7,81373322809787;1,84234654234654;2385,49248727885;1;1;1
Balears, Illes;2008;303;187305;21,6;28,6;271,7;224,3;1,5654;137,52600;1617,0;71,9365000000000;1,617682389685273;12,75078020508248;7,94994479205006;1,60388286190783;2247,81578197438;0;0;0
Balears, Illes;2009;283;185074;46,5;46,6;287,9;223,7;-4,0597;126,27800;1720,5;71,8135833333333;1,529118082496731;20,83147071971391;16,15144147273359;1,28975923015175;2395,78631247803;0;0;0
Balears, Illes;2010;334;181873;51,4;51,7;303,4;215,0;-0,6011;123,72950;1724,8;73,0365000000000;1,836446311437102;24,04651162790698;16,94133157547792;1,41939914939824;2361,55894655412;0;0;0
Balears, Illes;2011;438;178620;56,0;56,7;305,8;205,1;-0,0551;116,97975;1734,0;75,1228333333333;2,452133019818609;27,64505119453925;18,31262262916939;1,50961725987323;2308,21964915239;0;0;0
Balears, Illes;2012;372;175860;60,8;60,8;318,3;204,2;-1,2579;100,78925;1681,2;77,0002500000000;2,115319003752985;29,77473065621939;19,10147659440779;1,55876591576885;2183,36953451450;0;0;0
Balears, Illes;2013;556;173252;59,5;59,0;325,7;199,3;-1,1981;93,58050;1761,1;78,1982500000000;3,209198162214578;29,60361264425489;18,26834510285539;1,62048682995526;2252,09643438312;1;0;0
Balears, Illes;2014;608;172006;53,5;46,3;326,0;186,4;3,2240;93,98725;1707,5;78,3587500000000;3,534760415334349;24,83905579399141;16,41104294478528;1,51355741847499;2179,08019206534;1;1;0
Balears, Illes;2015;435;169517;46,7;41,6;336,6;180,5;4,3052;100,00025;1747,2;78,2786666666667;2,566114313018753;23,04709141274238;13,87403446226976;1,66116723116254;2232,02575414332;1;1;0
Balears, Illes;2016;685;166621;35,4;37,1;343,9;173,5;4,2388;106,17600;1749,3;78,1707500000000;4,111126448646929;21,38328530259366;10,29369002617040;2,07731972191016;2237,79354809823;1;1;0
Balears, Illes;2017;603;165934;32,4;28,0;343,0;166,6;2,9985;114,62700;1797,3;79,8346666666667;3,633974953897332;16,80672268907563;9,44606413994169;1,77923021060276;2251,27764045694;1;1;0
Balears, Illes;2018;603;164569;36,1;24,8;349,6;176,5;2,9964;123,18500;1862,6;81,0226666666667;3,664116571164679;14,05099150141643;10,32608695652174;1,36072759803191;2298,86286964964;1;1;0
Balears, Illes;2019;563;164416;33,5;28,4;354,7;179,1;1,8715;130,59725;1940,2;81,4128333333333;3,424240949785909;15,85706309324400;9,44460107132788;1,67895530721601;2383,16235974263;1;1;0
Balears, Illes;2020;552;164037;44,3;40,5;348,1;165,3;-22,6600;135,89875;1844,9;81,1693333333333;3,365094460396130;24,50090744101633;12,72622809537489;1,92522931833359;2272,90273830839;1;1;0
Balears, Illes;2021;1233;162579;40,2;34,0;344,4;160,1;11,5330;143,80300;2066,2;83,8618333333333;7,584005314339491;21,23672704559650;11,67247386759582;1,81938527226454;2463,81448851385;1;1;1
Balears, Illes;2022;1069;161937;31,0;23,8;351,1;166,6;16,0641;157,03375;2305,8;90,6737500000000;6,601332617005379;14,28571428571429;8,82939333523213;1,61797235023042;2542,96309571403;1;1;1
Balears, Illes;2023;1034;163684;27,3;24,6;348,0;174,1;3,7882;163,44300;2237,1;94,1998333333333;6,317049925466142;14,12981045376221;7,84482758620690;1,80116265124881;2374,84496610928;1;1;1
Balears, Illes;2024;1286;166551;24,3;24,1;346,9;185,8;4,1518;174,24350;2342,2;96,9721666666667;7,721358622884281;12,97093649085038;7,00490054770827;1,85169459616296;2415,33223450715;1;1;1
Canarias;2008;568;408911;75,8;75,7;507,1;382,3;-0,1982;139,78200;1569,9;76,5618333333333;1,389055320106331;19,80120324352603;14,94774206270952;1,32469527240001;2050,49948734248;0;0;0
Canarias;2009;541;399630;124,2;118,7;541,8;380,3;-4,4842;134,44050;1633,0;75,7882500000000;1,353752220804244;31,21220089403103;22,92358803986711;1,36157572015990;2154,68756700412;0;0;0
Canarias;2010;660;389554;142,6;124,2;562,0;367,9;0,7643;131,10825;1629,3;76,5198333333333;1,694245213757271;33,75917368850232;25,37366548042704;1,33048075827057;2129,25189330000;0;0;0
Canarias;2011;886;380143;148,8;132,2;586,5;363,2;-0,5303;123,61050;1627,9;78,5107500000000;2,330701867455142;36,39867841409691;25,37084398976982;1,43466565120080;2073,47401470499;0;0;0
Canarias;2012;815;370865;171,6;148,5;606,9;351,4;-2,4218;107,17350;1620,3;80,1034166666667;2,197565151739851;42,25953329538987;28,27483934750370;1,49459852896108;2022,76016108343;0;0;0
Canarias;2013;1121;362509;176,7;151,7;609,8;344,0;-0,8328;97,95325;1617,3;80,6918333333333;3,092337017839557;44,09883720930232;28,97671367661528;1,52187158631763;2004,29204938129;1;0;0
Canarias;2014;1239;356283;181,4;129,9;619,3;329,0;0,7097;96,71075;1621,6;80,3173333333333;3,477572603800911;39,48328267477203;29,29113515259164;1,34796014115140;2018,99133437365;1;1;0
Canarias;2015;987;347533;154,2;123,5;629,0;323,2;2,8544;99,99975;1574,0;79,6775000000000;2,840018070226425;38,21163366336634;24,51510333863275;1,55869763775989;1975,46358758746;1;1;0
Canarias;2016;1427;338817;142,7;97,8;631,6;309,2;2,5142;103,34375;1631,8;79,4904166666667;4,211713107665790;31,63001293661061;22,59341355288157;1,39996609465755;2052,82607442197;1;1;0
Canarias;2017;1180;332942;129,9;84,7;627,9;299,8;3,7408;107,88825;1606,6;80,9190833333333;3,544160844831833;28,25216811207472;20,68800764452939;1,36563020458597;1985,44018767720;1;1;0
Canarias;2018;1071;327543;109,8;76,2;636,4;299,1;2,4005;113,27625;1679,3;82,1674166666667;3,269799690422326;25,47642928786359;17,25329981143934;1,47661198531843;2043,75416451574;1;1;0
Canarias;2019;985;324808;115,7;77,8;641,3;300,3;1,6206;117,58700;1750,0;82,4376666666667;3,032560774365163;25,90742590742591;18,04147824731015;1,43599241438481;2122,81602665448;1;1;0
Canarias;2020;902;323782;119,0;86,1;611,7;282,4;-18,7563;118,96000;1775,7;82,8867500000000;2,785825030421703;30,48866855524079;19,45398070949812;1,56722004665889;2142,32069661315;1;1;0
Canarias;2021;1610;322631;110,2;93,6;595,0;280,5;8,6087;125,79175;1954,8;84,7268333333333;4,990221026497764;33,36898395721925;18,52100840336134;1,80168289061211;2307,17934696013;1;1;1
Canarias;2022;1344;323554;87,9;71,3;609,9;290,6;12,6841;137,24025;1879,6;91,1200833333333;4,153866124356367;24,53544390915347;14,41219872110182;1,70240810468631;2062,77247697864;1;1;1
Canarias;2023;1464;324992;81,8;62,5;608,8;305,3;4,0982;144,51000;1987,9;95,3036666666667;4,504726270185111;20,47166721257779;13,43626806833115;1,52361259156691;2085,85888615688;1;1;1
Canarias;2024;1485;327786;72,9;50,5;612,2;301,9;4,4229;156,09450;2051,7;97,9426666666667;4,530394830773736;16,72739317654853;11,90787324403790;1,40473389611564;2094,79695604231;1;1;1
Cantabria;2008;130;113504;8,5;9,7;146,4;100,5;0,6613;153,98000;1798,1;72,6022500000000;1,145334085142374;9,65174129353234;5,80601092896175;1,66237050043898;2476,64500755831;0;0;0
Cantabria;2009;109;110561;14,0;17,2;150,3;100,3;-3,6130;143,50650;1818,3;72,3599166666667;0,985881097312796;17,14855433698903;9,31470392548237;1,84101979774961;2512,85529857115;0;0;0
Cantabria;2010;124;106961;16,3;18,0;152,1;94,4;-0,3242;134,88575;1875,0;73,7223333333333;1,159301053655071;19,06779661016949;10,71663379355687;1,77927108245815;2543,32698820349;0;0;0
Cantabria;2011;189;103010;19,0;19,6;154,8;90,1;-2,1160;122,39675;1885,8;76,2331666666667;1,834773322978352;21,75360710321865;12,27390180878553;1,77234651556750;2473,72644015400;0;0;0
Cantabria;2012;183;98298;24,7;20,7;157,3;85,4;-2,4219;105,10725;1861,3;78,2116666666667;1,861685893914423;24,23887587822014;15,70247933884297;1,54363367434981;2379,82398192938;0;0;0
Cantabria;2013;235;93521;27,4;24,0;159,8;78,7;-3,0895;95,56100;1873,0;79,8708333333333;2,512804610729141;30,49555273189327;17,14643304130163;1,77853625056808;2345,03625645574;1;0;0
Cantabria;2014;282;89358;26,5;20,8;160,3;74,1;1,5322;97,21100;1904,7;79,6746666666667;3,155845027865440;28,07017543859650;16,53150343106675;1,69798080105925;2390,59676015798;1;1;0
Cantabria;2015;459;85209;25,2;17,1;158,7;70,4;2,4610;100,00000;1855,4;78,9868333333333;5,386754920254902;24,28977272727273;15,87901701323252;1,52967735389610;2348,99909478584;1;1;0
Cantabria;2016;299;80825;21,3;14,6;161,1;65,8;2,3962;102,54725;1910,4;78,7095000000000;3,699350448499846;22,18844984802432;13,22160148975791;1,67819684061818;2427,15301202523;1;1;0
Cantabria;2017;244;77536;18,1;13,8;161,8;62,8;3,0234;106,68275;1897,3;80,2670833333333;3,146925299215848;21,97452229299363;11,18665018541409;1,96435232431291;2363,73357696441;1;1;0
Cantabria;2018;296;74874;14,6;9,3;157,5;58,0;2,1945;112,93800;1972,4;81,6434166666667;3,953308224483800;16,03448275862069;9,26984126984127;1,72974728389230;2415,87145728223;1;1;0
Cantabria;2019;236;72542;13,9;9,8;159,7;56,5;1,3195;116,42325;1959,8;82,2044166666667;3,253287750544512;17,34513274336284;8,70381966186600;1,99281848857197;2384,05681770951;1;1;0
Cantabria;2020;222;70771;15,5;11,1;155,0;55,1;-9,9326;117,82925;1941,0;81,9205000000000;3,136878099786636;20,14519056261343;10,00000000000000;2,01451905626134;2369,37030413633;1;1;0
Cantabria;2021;301;70206;14,8;10,6;158,2;57,6;7,1331;124,30250;2064,8;84,5871666666667;4,287382844771102;18,40277777777778;9,35524652338812;1,96710773273273;2441,03222908124;1;1;1
Cantabria;2022;294;69527;11,3;9,5;155,5;57,4;4,6897;136,34300;2125,9;91,5793333333333;4,228573072331613;16,55052264808362;7,26688102893891;2,27752767413894;2321,37527389731;1;1;1
Cantabria;2023;306;69001;9,9;7,6;156,3;57,9;1,8713;143,35800;2317,0;95,0481666666667;4,434718337415400;13,12607944732297;6,33397312859885;2,07232951274402;2437,71140597136;1;1;1
Cantabria;2024;365;69173;10,4;6,6;157,1;60,3;2,4886;156,31250;2327,2;97,5255833333333;5,276625272866581;10,94527363184080;6,61998726925525;1,65336777650210;2386,24566032674;1;1;1
Castilla - La Mancha;2008;219;377265;44,5;53,1;468,5;383,9;2,1566;149,22175;1646,7;72,7384166666667;0,580493817343247;13,83172701224277;9,49839914621131;1,45621665286196;2263,86560975917;0;0;0
Castilla - La Mancha;2009;224;375286;76,8;86,2;490,4;381,5;-3,1409;144,76975;1709,4;71,9014166666667;0,596878114291500;22,59501965923984;15,66068515497553;1,44278615115771;2377,42186350060;0;0;0
Castilla - La Mancha;2010;269;371800;87,4;97,1;508,0;374,0;-0,2160;143,13675;1756,7;73,3179166666667;0,723507261968800;25,96256684491978;17,20472440944882;1,50903706604339;2396,00370532441;0;0;0
Castilla - La Mancha;2011;444;367116;100,8;108,1;528,2;370,1;-1,5193;133,94575;1790,1;75,9974166666667;1,209426993102998;29,20832207511483;19,08368042408178;1,53053925794401;2355,47480232332;0;0;0
Castilla - La Mancha;2012;462;358861;129,7;124,6;540,7;349,6;-5,1144;118,44325;1706,7;77,8200000000000;1,287406544595261;35,64073226544622;23,98742371000554;1,48580909297816;2193,13801079414;0;0;0
Castilla - La Mancha;2013;704;349784;135,8;127,3;548,3;333,3;-0,0524;100,52050;1768,5;78,8357500000000;2,012670676760515;38,19381938193819;24,76746306766369;1,54209655133407;2243,27161218102;1;0;0
Castilla - La Mancha;2014;882;340283;127,0;120,9;549,4;315,7;-1,2768;97,84550;1740,4;78,4934166666667;2,591960221345174;38,29585049097244;23,11612668365490;1,65667246139687;2217,25601191607;1;1;0
Castilla - La Mancha;2015;1233;330059;116,2;104,7;547,9;297,2;4,1358;100,00000;1788,1;77,7224166666667;3,735695739246619;35,22880215343204;21,20824968059865;1,66108956108997;2300,62326505974;1;1;0
Castilla - La Mancha;2016;968;318473;110,0;82,2;549,2;276,9;3,2252;100,83750;1787,4;77,3398333333333;3,039504133788422;29,68580715059589;20,02913328477786;1,48213138973702;2311,09885160515;1;1;0
Castilla - La Mancha;2017;836;309358;100,4;71,5;549,4;272,3;1,9533;101,58225;1765,2;78,9232500000000;2,702370716128240;26,25780389276533;18,27448125227521;1,43685632058618;2236,60328230274;1;1;0
Castilla - La Mancha;2018;683;300902;85,9;60,6;545,9;262,2;2,8401;103,97525;1776,6;80,3893333333333;2,269842008361527;23,11212814645309;15,73548268913721;1,46879054192651;2209,99469249652;1;1;0
Castilla - La Mancha;2019;752;293879;69,3;56,3;541,9;258,6;1,0008;107,64300;1880,9;80,8713333333333;2,558876272207269;21,77107501933488;12,78833733161100;1,70241638571105;2325,79323534504;1;1;0
Castilla - La Mancha;2020;660;288849;73,6;65,0;539,9;244,7;-7,8779;109,02950;1892,3;80,4115833333333;2,284930880840854;26,56313853698407;13,63215410261159;1,94856501305947;2353,26792678086;1;1;0
Castilla - La Mancha;2021;1018;288168;65,4;57,7;549,6;250,9;5,6852;111,66900;1926,1;83,3787500000000;3,532661503012132;22,99721004384217;11,89956331877729;1,93260957799628;2310,06101674587;1;1;1
Castilla - La Mancha;2022;805;286026;64,2;51,4;546,5;258,4;3,1787;118,28400;1954,6;91,8163333333333;2,814429457461909;19,89164086687307;11,74748398902104;1,69326818282650;2128,81513456212;1;1;1
Castilla - La Mancha;2023;989;282887;61,2;43,3;547,9;258,1;0,2372;120,26825;2025,2;95,0940000000000;3,496095614149819;16,77644323905463;11,16992151852528;1,50193026971863;2129,68220918249;1;1;1
Castilla - La Mancha;2024;1025;282373;59,5;47,9;550,5;259,8;3,4560;128,03175;2221,5;97,6806666666667;3,629950455603050;18,43725943033103;10,80835603996367;1,70583383468861;2274,24737750903;1;1;1
Castilla y León;2008;576;450581;48,1;50,1;613,1;406,3;0,0350;152,99900;1705,5;72,2826666666667;1,278349508745376;12,33079005660842;7,84537595824499;1,57172710679971;2359,48682948425;0;0;0
Castilla y León;2009;496;436882;73,3;68,7;626,6;389,4;-3,2451;148,89600;1779,9;71,7668333333333;1,135318003488356;17,64252696456087;11,69805298436004;1,50815926275496;2480,11500205527;0;0;0
Castilla y León;2010;515;423096;82,6;81,7;637,3;382,7;0,1725;144,79100;1777,2;73,1276666666667;1,217217841813678;21,34831460674157;12,96092891887651;1,64712843812063;2430,27034911547;0;0;0
Castilla y León;2011;790;409290;89,5;86,6;648,0;365,0;-0,2532;135,80025;1788,8;75,6549166666667;1,930171760854162;23,72602739726027;13,81172839506173;1,71781740261728;2364,42002557666;0;0;0
Castilla y León;2012;641;393275;106,6;97,9;655,0;349,0;-3,6507;117,85475;1828,1;77,7675000000000;1,629902739813108;28,05157593123209;16,27480916030534;1,72361934661886;2350,72491722120;0;0;0
Castilla y León;2013;1033;377772;120,3;99,0;652,8;327,1;-2,0787;101,21550;1852,9;78,9580833333333;2,734453585760723;30,26597370834607;18,42830882352941;1,64236306207883;2346,68816893352;1;0;0
Castilla y León;2014;1200;363600;114,4;90,2;656,5;303,1;0,3798;98,77450;1788,5;78,8103333333333;3,300330033003300;29,75915539425932;17,42574257425743;1,70776971296602;2269,37245961824;1;1;0
Castilla y León;2015;1848;348926;101,4;74,9;646,3;288,9;2,8672;100,00000;1841,6;78,0901666666667;5,296251927342760;25,92592592592593;15,68930837072567;1,65245817809920;2358,29948713133;1;1;0
Castilla y León;2016;1251;333453;89,6;60,5;640,3;276,4;2,2899;101,05650;1819,8;77,7901666666667;3,751653156516811;21,88856729377714;13,99344057473060;1,56420196854972;2339,37022888497;1;1;0
Castilla y León;2017;1010;321024;78,2;51,5;633,6;263,7;1,2374;102,71025;1836,7;79,4475000000000;3,146182216905901;19,52976867652636;12,34217171717172;1,58236079711600;2311,84115296265;1;1;0
Castilla y León;2018;869;309962;64,2;44,5;625,7;252,7;2,8861;106,92050;1843,9;80,8234166666667;2,803569469805976;17,60981400870597;10,26050823078153;1,71627112542793;2281,39328433076;1;1;0
Castilla y León;2019;1202;300525;58,4;42,9;617,1;248,6;0,6662;112,08325;1904,3;81,5019166666667;3,999667248980950;17,25663716814159;9,46362015880733;1,82347102679113;2336,50946859123;1;1;0
Castilla y León;2020;801;291836;57,5;47,1;603,0;239,8;-8,6138;114,71950;1950,5;81,0512500000000;2,744692224400005;19,64136780650542;9,53565505804312;2,05978170214309;2406,50205888250;1;1;0
Castilla y León;2021;1185;287318;57,3;44,3;601,0;235,7;4,9599;118,79950;1990,3;83,8996666666667;4,124350023319110;18,79507848960543;9,53410981697171;1,97135116444204;2372,23826872574;1;1;1
Castilla y León;2022;925;282528;46,5;36,2;597,8;236,2;4,0262;125,98775;2061,3;91,8329166666667;3,274011779363461;15,32599491955970;7,77852124456340;1,97029672320705;2244,61998466418;1;1;1
